元の番号,分類番号,単語,和訳,分類語源,一つ目の語源,一つ目の語源の長さ,二つ目の語源,二つ目の語源の長さ,三つ目の語源,三つ目の語源の長さ,参考,参考の長さ,,,,,,,,,,,,
27,2,absorb,吸収する,ab(離れる),ab(離れる),7,sorbere(吸い込む),13,,0,原義はラテン語のabsorbere(貪る)です。,24,同義語はsoap up, suck inです,,,,,,,,,,
28,2,abstain,慎む,ab(離れる),ab(離れる),7,tenere(掴む),10,,0,,0, refrain, stopです,,,,,,,,,,
29,2,abstemious,節度のある,ab(離れる),ab(離れる),7,temuletus(酒酔い),14,,0,,0,,,,,,,,,,,,
30,2,abstract,抽象的,ab(離れる),ab(離す),6,tract(引っ張る),11,,0,原義はabstrahere(引っ張り抜く)です。,24,対義語はconcrete, specificです,,,,,,,,,,
31,2,abstruse,難しい,ab(離れる),ab(離す),6,trudere(押す),11,,0,原義はabstrudere(隠す)です。,20,同義語はhard to understandです,,,,,,,,,,,
32,2,absurd,馬鹿げた,ab(離れる),ab(離れる),7,surdus(耳が聞こえない),15,,0,原義はラテン語のabsurdus(旋律から外れた)です。,28,同義語はfoolish, silly, stupid, ridiculousです,,,,,,,,
33,2,abuse,虐待,ab(離れる),ab(離れる),7,uti(使う),7,,0,原義はラテン語のabuti(使い果たす)です。,23,同義語はill-treatment, crueltyです,,,,,,,,,,
34,2,,,ab(離れる),,0,,0,,0,,0,,,,,,,,,,,,
35,3,acid,酸,acer_acri_acu(刺す),acere(酸っぱい),11,,0,,0,,0,,,,,,,,,,,,
36,3,acidophilus,乳酸菌,acer_acri_acu(刺す),acidus(酸の),10,philos(愛),9,,0,,0, lactobacillusです,,,,,,,,,,,
37,3,acrid,刺激臭の,acer_acri_acu(刺す),acer(感覚を刺す),11,,0,,0,,0, stinkingです,,,,,,,,,,,
38,3,acrobat,曲芸師,acer_acri_acu(刺す),akros(先端),9,bat(歩く),7,,0,原義はギリシャ語のakrobates(綱渡りする人)です。,29,,,,,,,,,,,,
39,3,acrobatics,曲芸,acer_acri_acu(刺す),akros(先端),9,bat(歩く),7,,0,原義はギリシャ語のakrobates(縄の上を歩く人)です。,30,同義語はstunt, featです,,,,,,,,,,
40,3,acronym,頭字語,acer_acri_acu(刺す),acro(高い),8,onym(名前),8,,0,,0,,,,,,,,,,,,
41,3,acumen,聡明さ,acer_acri_acu(刺す),acuere(鋭くする),12,,0,,0,,0, wisdomです,,,,,,,,,,,
42,3,acute,深刻な,acer_acri_acu(刺す),acutus(鋭い),10,,0,,0,,0, grave, criticalです,,,,,,,,,,
43,3,acupressure,指圧,acer_acri_acu(刺す),acus(針),7,pressure(押す),12,,0,,0,,,,,,,,,,,,
44,3,acupuncture,鍼灸,acer_acri_acu(刺す),acus(針),7,puncture(刺す),12,,0,,0,,,,,,,,,,,,
45,3,exacerbate,悪化させる,acer_acri_acu(刺す),ex(徹底的),7,acerbus(厳しい),12,,0,原義はラテン語のexacerbare(怒らせる)です。,27,同義語はget worse, deteriorate, worsenです,,,,,,,,,
46,3,,,acer_acri_acu(刺す),,0,,0,,0,,0,,,,,,,,,,,,
47,4,act,行動、法律,act_ag_agere(動かす),agere(動く),9,,0,,0,,0, conduct, activityです,,,,,,,,,,
48,4,active,活動的な,act_ag_agere(動かす),actus(行動),9,,0,,0,,0,,,,,,,,,,,,
49,4,actual,実際の,act_ag_agere(動かす),actus(行動する),11,,0,,0,,0, practicalです,,,,,,,,,,,
50,4,actually,実際は,act_ag_agere(動かす),actus(行動する),11,,0,,0,,0,,,,,,,,,,,,
51,4,agenda,課題,act_ag_agere(動かす),agere(行う),9,,0,,0,,0, questionです,agendaは複数形ですが、常に単数形として扱います,,,,,,,,,,
52,4,agent,代行業者,act_ag_agere(動かす),agere(行動する),11,,0,,0,,0,,,,,,,,,,,,
53,4,agency,代理店、政府機関,act_ag_agere(動かす),agere(動かす),10,,0,,0,,0,,,,,,,,,,,,
54,4,agile,素早い,act_ag_agere(動かす),agere(動く),9,,0,,0,,0, speedyです,,,,,,,,,,,
55,4,agitate,要求する,act_ag_agere(動かす),agere(動かす),10,,0,,0,,0,,,,,,,,,,,,
56,4,exact,正確な,act_ag_agere(動かす),ex(外),5,agere(動かす),10,,0,原義はラテン語のexigere(要求する)で、同義語はcorrect。,35, accurate, preciseです,,,,,,,,,,
57,4,interact,交流する,act_ag_agere(動かす),inter(間),8,act(行動),7,,0,,0,,,,,,,,,,,,
58,4,react,反応する,act_ag_agere(動かす),re(再び),6,act(行動する),9,,0,,0,,,,,,,,,,,,
59,4,transact,ビジネスを行う,act_ag_agere(動かす),trans(通じて),10,act(行動),7,,0,原義はラテン語のtransgere(達成する)で、同義語はdo business with。,46, deal withです,,,,,,,,,,,
60,4,,,act_ag_agere(動かす),,0,,0,,0,,0,,,,,,,,,,,,
61,5,aerate,空気を送る,aer_air_aero_aeri(空気),aer(空気),7,,0,,0,,0,,,,,,,,,,,,
62,5,aerial,航空機からの,aer_air_aero_aeri(空気),aer(空気),7,,0,,0,,0,,,,,,,,,,,,
63,5,aerobic,有酸素の,aer_air_aero_aeri(空気),aero(酸素),8,bio(生物),7,,0,,0,,,,,,,,,,,,
64,5,aerobics,エアロビクス,aer_air_aero_aeri(空気),aerobic(有酸素の),13,,0,,0,,0,,,,,,,,,,,,
65,5,aerospace,航空宇宙の,aer_air_aero_aeri(空気),aero(空気),8,space(宇宙),9,,0,,0,,,,,,,,,,,,
66,5,aerodynamics,航空力学,aer_air_aero_aeri(空気),aero(空気),8,dynamis(力),10,,0,,0,,,,,,,,,,,,
67,5,airline,航空会社,aer_air_aero_aeri(空気),air(空気),7,line(線),7,,0,,0,,,,,,,,,,,,
68,5,anaerobic,無酸素の,aer_air_aero_aeri(空気),an(否定),6,aerobic(有酸素の),13,,0,,0,,,,,,,,,,,,
69,5,,,aer_air_aero_aeri(空気),,0,,0,,0,,0,,,,,,,,,,,,
70,6,alias,別名,ali_alt_altus(異なる),alius(別の),9,,0,,0,,0, bynameです,,,,,,,,,,,
71,6,alibi,アリバイ,ali_alt_altus(異なる),alius(異なる),10,,0,,0,原義はラテン語のalibi(別のどこか)です。,23,,,,,,,,,,,,
72,6,alien,異質な、外国人の,ali_alt_altus(異なる),alienus(他に属する),14,,0,,0,,0,,,,,,,,,,,,
73,6,alienate,孤立させる,ali_alt_altus(異なる),alius(異なる),10,,0,,0,,0,,,,,,,,,,,,
74,6,alter,変える,ali_alt_altus(異なる),alter(異なる),10,,0,,0,,0,,,,,,,,,,,,
75,6,alternate,交互の,ali_alt_altus(異なる),alter(片方),9,,0,,0,,0, Monday)の方が使われます,,,,,,,,,,,
76,6,alternative,代わりの、従来とは異なる,ali_alt_altus(異なる),alter(片方),9,,0,,0,原義はラテン語のalternare(交代で行う)で、同義語はsubstitute。,41,,,,,,,,,,,,
77,6,altruism,利他主義,ali_alt_altus(異なる),alter(異なる),10,ism(考え方),8,,0,,0,,,,,,,,,,,,
78,6,,,ali_alt_altus(異なる),,0,,0,,0,,0,,,,,,,,,,,,
79,7,altimeter,高度計,alt_alti_altus(高い),altus(高い),9,metron(測る),10,,0,,0,,,,,,,,,,,,
80,7,altitude,高度,alt_alti_altus(高い),altus(高さ),9,,0,,0,,0,,,,,,,,,,,,
81,7,alto,アルト,alt_alti_altus(高い),altus(高い),9,,0,,0,,0,,,,,,,,,,,,
82,7,enhance,質を高める,alt_alti_altus(高い),altus(高い),9,,0,,0,原義はラテン語のinaltare(高くする)で、同義語はimprove。,36,,,,,,,,,,,,
83,7,exalt,昇進させる,alt_alti_altus(高い),ex(外),5,altus(高い),9,,0,原義はラテン語のexaltare(向上させる)で、同義語はpromote。,37, win a promotion, rise in rankです,,,,,,,,,,
84,7,,,alt_alti_altus(高い),,0,,0,,0,,0,,,,,,,,,,,,
85,8,amateur,アマチュア,am_amare_amor(愛),amare(愛する),10,,0,,0,原義はラテン語のamatorem(恋人)です。,23,,,,,,,,,,,,
86,8,amenity,快適な設備,am_amare_amor(愛),amare(愛する),10,,0,,0,原義はラテン語のamoenitatem(快適さ)です。,27,,,,,,,,,,,,
87,8,amiable,愛想のいい,am_amare_amor(愛),amicus(友人),10,,0,,0,,0,,,,,,,,,,,,
88,8,amicable,友好的な,am_amare_amor(愛),amicus(友人),10,,0,,0,,0, relationship, agreementなどの名詞の前で使われます,,,,,,,,,,
89,8,amity,友好関係,am_amare_amor(愛),amicus(友人),10,,0,,0,,0,,,,,,,,,,,,
90,8,amorous,色気の,am_amare_amor(愛),amor(愛),7,,0,,0,,0,,,,,,,,,,,,
91,8,enamored,大好きになる,am_amare_amor(愛),in(中),5,amor(愛),7,,0,,0,,,,,,,,,,,,
92,8,,,am_amare_amor(愛),,0,,0,,0,,0,,,,,,,,,,,,
93,9,ambidextrous,両利き,ambi_amphi(両方、周囲),ambi(両方),8,dexter(右利き),11,,0,,0,,,,,,,,,,,,
94,9,ambient,取り巻く,ambi_amphi(両方、周囲),ambi(周囲),8,ire(行く),7,,0,原義はラテン語のambire(周回する)です。,23,,,,,,,,,,,,
95,9,ambiguous,曖昧な,ambi_amphi(両方、周囲),ambi(周辺),8,agere(動く),9,,0,原義はラテン語のambigere(論争する)です。,25,同義語はunclear, obscure, vague, uncertainです,,,,,,,,
96,9,ambit,範囲,ambi_amphi(両方、周囲),ambi(周り),8,ire(行く),7,,0,原義はラテン語のambitus(周囲)です。,22,同義語はrange, scope, reach, sphereです,,,,,,,,
97,9,ambition,熱望,ambi_amphi(両方、周囲),ambi(周り),8,ire(行く),7,,0,原義はラテン語のambitionem(歩き回る)で、立候補者が票を集めるために歩き回っていたことを意味します。,55,同義語はaspirationです,,,,,,,,,,,
98,9,ambivalent,ためらう状態,ambi_amphi(両方、周囲),ambi(両方),8,valere(強い),10,,0,,0,,,,,,,,,,,,
99,9,amphibian,両生類,ambi_amphi(両方、周囲),amphi(両方),9,bios(命),7,,0,原義はギリシャ語のamphibia(２つの生き方をする)です。,31,,,,,,,,,,,,
100,9,amputate,切断する,ambi_amphi(両方、周囲),amphi(周囲),9,putare(切る),10,,0,原義はラテン語のamputare(切り取る)です。,25,,,,,,,,,,,,
101,9,,,ambi_amphi(両方、周囲),,0,,0,,0,,0,,,,,,,,,,,,
102,10,ample,豊富な,ample(大きい),amplus(大きい),11,,0,,0,,0, sufficient, plentyです,,,,,,,,,,
103,10,amplifier,アンプ,ample(大きい),amplify(増幅させる),14,,0,,0,,0,,,,,,,,,,,,
104,10,amplify,音を増幅する,ample(大きい),amplus(大きい),11,facere(行う),10,,0,原義はラテン語のamplifacere(大きくする)です。,29,,,,,,,,,,,,
105,10,amplitude,振幅,ample(大きい),amplus(大きい),11,,0,,0,,0,,,,,,,,,,,,
106,10,,,ample(大きい),,0,,0,,0,,0,,,,,,,,,,,,
107,11,animal,動物,anim(生命),anima(命),8,,0,,0,原義はラテン語のanimale(呼吸をするもの)です。,27, bruteです,,,,,,,,,,,
108,11,animated,活気に満ちた,anim(生命),anima(命),8,,0,,0,原義はラテン語のanimare(息を吹き込む)です。,26, energetic, lively, vigorousです,,,,,,,,,
109,11,animation,アニメーション,anim(生命),anima(命),8,,0,,0,原義はラテン語のanimare(息を吹き込む)です。,26,,,,,,,,,,,,
110,11,animism,アニミズム、汎神論,anim(生命),anima(命),8,ism(学説),7,,0,,0,,,,,,,,,,,,
111,11,animosity,敵意,anim(生命),anima(魂),8,,0,,0,,0,,,,,,,,,,,,
112,11,magnanimous,寛容な,anim(生命),magnus(大きい),11,animus(魂),9,,0,,0, generous, tolerantです,,,,,,,,,,
113,11,unanimous,全会一致,anim(生命),unus(一),7,animus(心),9,,0,原義はラテン語のunanimus(一致団結して)です。,27,,,,,,,,,,,,
114,11,,,anim(生命),,0,,0,,0,,0,,,,,,,,,,,,
115,12,anniversary,記念日,ann(年),annus(年),8,vertere(回る),11,,0,原義はラテン語のanniversarius(年ごとに戻ってくる)です。,35,同義語はmemorial dayです,,,,,,,,,,,
116,12,annual,一年の,ann(年),annus(年),8,,0,,0,,0,,,,,,,,,,,,
117,12,annuity,年金,ann(年),annus(年),8,,0,,0,,0,,,,,,,,,,,,
118,12,millennium,1000年,ann(年),mille(1000),11,annus(年),8,,0,,0,,,,,,,,,,,,
119,12,perennial,長期の,ann(年),per(通じて),8,annus(年),8,,0,,0, continualです,,,,,,,,,,,
120,12,,,ann(年),,0,,0,,0,,0,,,,,,,,,,,,
121,13,ancestor,先祖,ante_anti(昔、前方),ante(前),7,cedere(行く),10,,0,原義はラテン語のantecedere(先に起きる)で、対義語はdescendant(子孫)です。,48,,,,,,,,,,,,
122,13,antebellum,南北戦争以前,ante_anti(昔、前方),ante(前),7,bellum(戦争),10,,0,,0,,,,,,,,,,,,
123,13,antecedent,先行する・先行詞,ante_anti(昔、前方),ante(前),7,cedere(行く),10,,0,原義はラテン語のantecedere(先行する)で、同義語はprecedentです。,42,,,,,,,,,,,,
124,13,antenatal,出産前,ante_anti(昔、前方),ante(前),7,natal(出産の),10,,0,,0,,,,,,,,,,,,
125,13,anterior,前方,ante_anti(昔、前方),ante(前),7,ior(比較形の接尾辞),12,,0,,0,,,,,,,,,,,,
126,13,anticipate,予期する,ante_anti(昔、前方),anti(前),7,capere(取る),10,,0,原義はラテン語のanticipare(早めに処理する)で、同義語はexpectとpredictです。,50,,,,,,,,,,,,
127,13,antique,骨董品,ante_anti(昔、前方),anti(古い),8,okw(外観),7,,0,原義はラテン語のantiquus(古い)です。,23,,,,,,,,,,,,
128,13,,,ante_anti(昔、前方),,0,,0,,0,,0,,,,,,,,,,,,
129,14,anthropoid,類人猿,anthrop(人間),anthropo(人間),12,oid(姿),6,,0,,0,,,,,,,,,,,,
130,14,anthropology,人類学,anthrop(人間),anthropo(人間),12,logy(学問),8,,0,,0,,,,,,,,,,,,
131,14,lycanthrope,人狼,anthrop(人間),lycos(狼),8,anthropo(人間),12,,0,,0,,,,,,,,,,,,
132,14,misanthropy,人間不信,anthrop(人間),misein(嫌う),10,anthropos(人間),13,,0,,0, trust issuesです,,,,,,,,,,,
133,14,philanthropy,慈善活動,anthrop(人間),phil(愛),7,anthropos(人間),13,,0,,0, charity workです,,,,,,,,,,,
134,14,,,anthrop(人間),,0,,0,,0,,0,,,,,,,,,,,,
135,15,antacid,制酸剤・胃腸薬,anti(反抗),anti(対抗),8,acid(酸),7,,0,,0,,,,,,,,,,,,
136,15,antagonist,悪役,anti(反抗),anti(対抗),8,agon(競争),8,,0,,0, villainで、対義語はprotagonist, heroです,,,,,,,,,,
137,15,antibiotic,抗生物質,anti(反抗),anti(対抗),8,bioticus(生物の),13,,0,,0,,,,,,,,,,,,
138,15,antibody,抗体,anti(反抗),anti(対抗),8,toxic(毒素),9,body(体),7,,0,,,,,,,,,,,,
139,15,anti-cancer,抗がんの,anti(反抗),anti(対抗),8,cancer(がん),10,,0,,0,,,,,,,,,,,,
140,15,anticyclone,高気圧,anti(反抗),anti(対抗),8,cyclone(台風),11,,0,,0, low pressureです,,,,,,,,,,,
141,15,antidote,解毒剤,anti(反抗),anti(対抗),8,didonai(与える),12,,0,,0,,,,,,,,,,,,
142,15,antigen,抗原,anti(反抗),anti(対抗),8,gene(生む),8,,0,,0,,,,,,,,,,,,
143,15,antipathy,嫌悪感,anti(反抗),anti(反対),8,pathos(感情),10,,0,,0, animosity, enmityです,,,,,,,,,,
144,15,antiseptic,消毒薬,anti(反抗),anti(対抗),8,septic(腐敗),10,,0,,0, germicide, bactericideです,,,,,,,,,,
145,15,antisocial,反社会的,anti(反抗),anti(反対),8,social(社交的),11,,0,,0, aggressiveです,,,,,,,,,,,
146,15,antithesis,正反対,anti(反抗),anti(反対),8,thesis(置く),10,,0,,0,,,,,,,,,,,,
147,15,,,anti(反抗),,0,,0,,0,,0,,,,,,,,,,,,
148,16,adapt,適応する,apt(ぴったり),ad(方向),6,aptus(馴染んだ),11,,0,原義はラテン語のadaptare(調整する)で、同義語はadjust。,35, accommodate, conformです,,,,,,,,,,
149,16,adapter,アダプター,apt(ぴったり),adapt(適応する),11,,0,,0,,0,,,,,,,,,,,,
150,16,apt,傾向がある,apt(ぴったり),aptus(適した),10,,0,,0,,0,aptは形容詞なのでbe動詞を伴います,,,,,,,,,,,
151,16,aptitude,学習の適正,apt(ぴったり),aptus(適した),10,,0,,0,,0,,,,,,,,,,,,
152,16,,,apt(ぴったり),,0,,0,,0,,0,,,,,,,,,,,,
153,17,aquaculture,養殖,aqua(水),aqua(水),7,culture(耕作),11,,0,,0,,,,,,,,,,,,
154,17,aqueduct,水道橋,aqua(水),aqua(水),7,ducere(導く),10,,0,,0,,,,,,,,,,,,
155,17,aquamarine,アクアマリン,aqua(水),aqua(水),7,marinus(海),10,,0,,0,,,,,,,,,,,,
156,17,aquanaut,潜水士,aqua(水),aqua(水),7,nautes(船乗り),11,,0,,0,,,,,,,,,,,,
157,17,aquarium,水族館、水槽,aqua(水),aquarius(水の),12,,0,,0,,0,,,,,,,,,,,,
158,17,Aquarius,みずがめ座,aqua(水),aqua(水),7,,0,,0,ラテン語のaquarius(水の運び手)に由来します。,27,,,,,,,,,,,,
159,17,aquatic,水生の,aqua(水),aqua(水),7,,0,,0,,0,,,,,,,,,,,,
160,17,aquavit,アクアビット,aqua(水),aqua(水),7,vit(命),6,,0,原義はラテン語のaqua viate(命の水)です。,26,,,,,,,,,,,,
161,17,,,aqua(水),,0,,0,,0,,0,,,,,,,,,,,,
162,18,anarchy,無政府状態,arch_archy_arkhein(支配者),an(無い),6,arkhein(支配),11,,0,原義はギリシャ語のanarkhia(指導者がいないこと)です。,31,,,,,,,,,,,,
163,18,archangel,大天使,arch_archy_arkhein(支配者),arkhein(長),10,angel(天使),9,,0,,0,教派によっては、ラファエルやウリエルも含めることがあります,,,,,,,,,,,
164,18,archbishop,大司教,arch_archy_arkhein(支配者),arkhein(長),10,bishop(司教),10,,0,,0,ちなみに日本の大司教区は、東京、大阪、長崎の3ヶ所にあります,,,,,,,,,,,
165,18,architect,建築士,arch_archy_arkhein(支配者),arkhi(長),8,tekton(建築者),11,,0,,0,,,,,,,,,,,,
166,18,archipelago,列島,arch_archy_arkhein(支配者),arkhein(支配),11,pelagos(海),10,,0,,0,,,,,,,,,,,,
167,18,archive,長期保存用データ,arch_archy_arkhein(支配者),arkhe(政府),9,,0,,0,原義は後期ラテン語のarchivum(記録の保管庫)です。,29,,,,,,,,,,,,
168,18,hierarchy,ヒエラルキー,arch_archy_arkhein(支配者),hiera(神聖),9,arkhein(支配),11,,0,原義は中期ラテン語のhierarchia(天使の階級)です。,30,,,,,,,,,,,,
169,18,monarchy,君主制,arch_archy_arkhein(支配者),monos(単一),9,arkhein(支配),11,,0,,0,,,,,,,,,,,,
170,18,,,arch_archy_arkhein(支配者),,0,,0,,0,,0,,,,,,,,,,,,
171,19,alarm,警報,arm(武器),arm (武器),8,,0,,0,,0,,,,,,,,,,,,
172,19,arm,武装する,arm(武器),arma(武器),8,,0,,0,,0,,,,,,,,,,,,
173,19,armada,艦隊,arm(武器),arm(武器),7,,0,,0,ラテン語のarmata(軍隊)に由来します。,22,,,,,,,,,,,,
174,19,armadillo,アルマジロ,arm(武器),arm(武器),7,,0,,0,ラテン語のarmado(鎧を着た)に由来します。,24,,,,,,,,,,,,
175,19,armament,軍備,arm(武器),armare(武装する),12,,0,,0,,0,,,,,,,,,,,,
176,19,armistice,停戦協定,arm(武器),arma(武器),8,stitim(止めること),13,,0,,0,,,,,,,,,,,,
177,19,armory,武器庫,arm(武器),arm(武器),7,ory(場所),7,,0,,0, weapons storeです,,,,,,,,,,,
178,19,armor,鎧,arm(武器),arma(武器),8,,0,,0,,0,,,,,,,,,,,,
179,19,arms,兵器,arm(武器),arma(武器),8,,0,,0,,0,,,,,,,,,,,,
180,19,army,陸軍,arm(武器),armare(武装する),12,,0,,0,,0,,,,,,,,,,,,
181,19,disarmament,軍縮,arm(武器),dis(否定),7,armament(武装),12,,0,,0, arms reductionです,,,,,,,,,,,
182,19,,,arm(武器),,0,,0,,0,,0,,,,,,,,,,,,
183,20,art,芸術,art(技術),artem(技術),9,,0,,0,,0,,,,,,,,,,,,
184,20,artifact,遺物,art(技術),art(技術),7,facere(作る),10,,0,,0,,,,,,,,,,,,
185,20,artificial,人工の,art(技術),artificialis(技術に関する),20,,0,,0,,0,,,,,,,,,,,,
186,20,artful,ずる賢い,art(技術),art(技術),7,,0,,0,,0, cleverです,,,,,,,,,,,
187,20,artist,画家,art(技術),art(技術),7,,0,,0,,0,,,,,,,,,,,,
188,20,artisan,職人,art(技術),artire(技術を教える),14,,0,,0,,0,,,,,,,,,,,,
189,20,,,art(技術),,0,,0,,0,,0,,,,,,,,,,,,
190,21,audible,音が聞こえる,aud(聴く),audire(聴く),10,,0,,0,,0,,,,,,,,,,,,
191,21,audience,聴衆,aud(聴く),audire(聴く),10,,0,,0,,0,,,,,,,,,,,,
192,21,audio,機械音声の,aud(聴く),audire(聴く),10,,0,,0,,0,,,,,,,,,,,,
193,21,audiology,聴覚学,aud(聴く),audio(音),8,logy(学問),8,,0,,0,,,,,,,,,,,,
194,21,audit,会計監査,aud(聴く),audire(聴く),10,,0,,0,,0,,,,,,,,,,,,
195,21,audition,オーディション,aud(聴く),audere(聴く),10,,0,,0,,0,,,,,,,,,,,,
196,21,auditorium,講堂,aud(聴く),audire(聴く),10,ory(場所),7,,0,,0,,,,,,,,,,,,
197,21,auditory,聴覚の,aud(聴く),auditor(聞き手),12,,0,,0,,0,,,,,,,,,,,,
198,21,,,aud(聴く),,0,,0,,0,,0,,,,,,,,,,,,
199,22,autism,自閉症,auto(自分),auto(自己),8,ismos(状態),9,,0,,0,,,,,,,,,,,,
200,22,autobiography,自伝,auto(自分),auto(自分),8,bio(命),6,graphia(記録),11,,0,,,,,,,,,,,,
201,22,autocracy,独裁,auto(自分),auto(自分),8,kratia(支配),10,,0,原義はギリシャ語のautokratia(一人による支配)です。,31,同義語はdictatorship, despotismです,,,,,,,,,,
202,22,autograph,有名人のサイン,auto(自分),auto(自分),8,graphia(書く),11,,0,原義はautographos(自分の手で書くこと)です。,28,,,,,,,,,,,,
203,22,autoimmune,自己免疫,auto(自分),auto(自分),8,immune(免疫),10,,0,,0,,,,,,,,,,,,
204,22,automatic,自動,auto(自分),auto(自分),8,matos(考える),10,,0,,0,,,,,,,,,,,,
205,22,automation,自動化,auto(自分),automatic(自動),13,,0,,0,,0,,,,,,,,,,,,
206,22,automaton,自動人形,auto(自分),auto(自分),8,matos(考える),10,,0,,0,,,,,,,,,,,,
207,22,automobile,自動車,auto(自分),auto(自分),8,mobile(移動する),12,,0,,0,,,,,,,,,,,,
208,22,autonomic,自律神経の,auto(自分),autonomy(自治権),13,,0,,0,,0,,,,,,,,,,,,
209,22,autonomy,自治権,auto(自分),auto(自分),8,nomos(法),8,,0,原義はラテン語のautonomos(自分の法で生きる)です。,30,同義語はindependenceです,,,,,,,,,,,
210,22,autopsy,検視,auto(自分),auto(自分),8,opsis(見ること),11,,0,,0, postmortemです,,,,,,,,,,,
211,22,,,auto(自分),,0,,0,,0,,0,,,,,,,,,,,,
212,23,batter,叩く、打者、,bat(打つ),bat(打つ),7,,0,,0,ラテン語のbattuere(叩く)に由来します。,24,,,,,,,,,,,,
213,23,battery,電池,bat(打つ),battuere(叩く),12,,0,,0,,0,,,,,,,,,,,,
214,23,battle,戦闘、戦い,bat(打つ),battuere(叩く),12,,0,,0,,0,,,,,,,,,,,,
215,23,combat,戦闘,bat(打つ),com(一緒),7,battuere(叩く),12,,0,,0,,,,,,,,,,,,
216,23,debate,討論,bat(打つ),de(徹底的),7,batre(叩く),9,,0,,0,,,,,,,,,,,,
217,23,rebate,払い戻し,bat(打つ),re(何度も),7,abattre(打ち倒す),13,,0,,0,,,,,,,,,,,,
218,23,,,bat(打つ),,0,,0,,0,,0,,,,,,,,,,,,
